Tag,Site_Code,Deploy_Site,Deploy_Latitude,Deploy_Longitude,Species_Code,Common_Name,Species_Name,Sex,DeployDate,FieldYear
585,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,2/1/2011,2011
577,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,2/5/2011,2011
582,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,2/5/2011,2011
576,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,2/7/2011,2011
584,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,2/7/2011,2011
571,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,2/10/2011,2011
574,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,2/10/2011,2011
580,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,2/12/2011,2011
586,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,2/12/2011,2011
573,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,2/15/2011,2011
578,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,2/15/2011,2011
589,CS,Cape Shirrreff,-62.47,-60.77,CONTROL,Control tag,NA,NA,2/15/2011,2011
581,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,2/18/2011,2011
587,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,2/21/2011,2011
583,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,3/2/2011,2011
588,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,3/2/2011,2011
1799,CS,Cape Shirrreff,-62.47,-60.77,CONTROL,Control tag,NA,NA,11/27/2011,2012
1833,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,11/29/2011,2012
1834,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,12/3/2011,2012
1838,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,12/3/2011,2012
1839,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,12/3/2011,2012
1840,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,12/4/2011,2012
1841,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,12/6/2011,2012
1842,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,12/8/2011,2012
1843,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,12/10/2011,2012
