Species_Code,Site,Tag,Direction
ADPE,COPA,1686,East
ADPE,COPA,1701,East
ADPE,COPA,1703,East
ADPE,COPA,1704,East
ADPE,COPA,1706,East
ADPE,COPA,1709,East
ADPE,COPA,1711,East
ADPE,COPA,1715,East
ADPE,COPA,1726,East
ADPE,COPA,1728,East
ADPE,COPA,1729,East
ADPE,COPA,1731,East
ADPE,COPA,1735,East
ADPE,COPA,1745,East
ADPE,COPA,1748,East
ADPE,COPA,1749,East
ADPE,COPA,1751,East
ADPE,COPA,1754,East
ADPE,COPA,1757,East
ADPE,COPA,1758,East
ADPE,COPA,1760,East
ADPE,COPA,1761,East
ADPE,COPA,1762,East
ADPE,COPA,1763,East
ADPE,COPA,1764,East
ADPE,COPA,1903,East
ADPE,COPA,1933,East
ADPE,COPA,1947,East
ADPE,COPA,1965,East
CHPE,COPA,1884,West
CHPE,COPA,1886,West
CHPE,COPA,1893,West
CHPE,COPA,1895,West
CHPE,COPA,1898,West
CHPE,COPA,1906,West
CHPE,COPA,1915,West
CHPE,COPA,1925,West
CHPE,COPA,1928,East
CHPE,COPA,1936,East
CHPE,COPA,1939,East
CHPE,COPA,1942,East
CHPE,COPA,1954,East
CHPE,COPA,1955,West
CHPE,COPA,1959,East
CHPE,COPA,1964,West
CHPE,COPA,1977,West
CHPE,COPA,2204,East
CHPE,COPA,2213,West
CHPE,CS,1888,East
CHPE,CS,1962,East
CHPE,CS,1980,West
CHPE,CS,2000,West
CHPE,CS,2001,West
CHPE,CS,2002,West
CHPE,CS,2003,West
CHPE,CS,2005,East
CHPE,CS,2007,West
CHPE,CS,2010,East
CHPE,CS,2012,West
CHPE,CS,2016,West
CHPE,CS,2017,West
CHPE,CS,2019,West
CHPE,CS,2020,West
CHPE,CS,2021,West
CHPE,CS,2022,West
CHPE,CS,2024,West
CHPE,CS,2025,West
CHPE,CS,2027,West
CHPE,CS,2029,West
CHPE,CS,2030,West
CHPE,CS,2031,West
CHPE,CS,2036,West
CHPE,CS,2037,West
CHPE,CS,2038,West
CHPE,CS,2039,West
CHPE,CS,2043,East
CHPE,CS,2044,West
CHPE,CS,2045,West
CHPE,CS,2143,East
CHPE,CS,2144,West
CHPE,CS,2157,West
